session,variant,alignment,skipped_leading_rows,manual_jump_index,algorithm_jump_index,manual_contact_time_s,algorithm_contact_time_s,contact_error_s,manual_air_time_s,algorithm_air_time_s,air_error_s,algorithm_touch_start_s,algorithm_lift_s,algorithm_landing_s
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,6,6,0.360000000,0.341032900,-0.018967100,0.370000000,0.432116100,0.062116100,8.649794900,8.990827800,8.649794900
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,7,7,0.390000000,0.364951200,-0.025048800,0.370000000,0.382946000,0.012946000,9.373773800,9.738725000,9.373773800
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,8,8,0.420000000,0.378712200,-0.041287800,0.390000000,0.421237900,0.031237900,10.159962900,10.538675100,10.159962900
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,9,9,0.410000000,0.382718300,-0.027281700,0.430000000,0.466220300,0.036220300,11.004895400,11.387613700,11.004895400
20260624_1_10次纵跳,onset,trimmed_first_real_jump,0,10,10,0.420000000,,,0.420000000,0.447258000,0.027258000,,11.387613700,11.834871700
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,1,2,0.280000000,0.182881400,-0.097118600,0.310000000,0.387106500,0.077106500,4.285526600,4.468408000,4.285526600
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,2,3,0.280000000,0.230046700,-0.049953300,0.270000000,0.350416800,0.080416800,4.818824800,5.048871500,4.818824800
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,3,4,0.250000000,0.170246100,-0.079753900,0.300000000,0.379138200,0.079138200,5.428009700,5.598255800,5.428009700
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,4,5,0.260000000,0.159460800,-0.100539200,0.320000000,0.405920200,0.085920200,6.004176000,6.163636800,6.004176000
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,5,6,0.250000000,0.195319600,-0.054680400,0.300000000,0.369841100,0.069841100,6.533477900,6.728797500,6.533477900
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,6,7,0.240000000,0.187730200,-0.052269800,0.320000000,0.369138200,0.049138200,7.097935700,7.285665900,7.097935700
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,7,8,0.240000000,0.186556300,-0.053443700,0.320000000,0.381187300,0.061187300,7.666853200,7.853409500,7.666853200
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,8,9,0.220000000,0.167253200,-0.052746800,0.330000000,0.376803800,0.046803800,8.230213300,8.397466500,8.230213300
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,9,10,0.200000000,0.177448000,-0.022552000,0.320000000,0.374399200,0.054399200,8.771865700,8.949313700,8.771865700
20260624_2_10次纵跳,current,trimmed_first_real_jump,1,10,,0.400000000,,,0.380000000,,,,,
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,1,2,0.280000000,0.184472000,-0.095528000,0.310000000,0.385911200,0.075911200,4.283347900,4.467819900,4.283347900
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,2,3,0.280000000,0.230206000,-0.049794000,0.270000000,0.349449600,0.079449600,4.817269500,5.047475500,4.817269500
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,3,4,0.250000000,0.170482400,-0.079517600,0.300000000,0.379315200,0.079315200,5.426790700,5.597273100,5.426790700
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,4,5,0.260000000,0.157845400,-0.102154600,0.320000000,0.406149300,0.086149300,6.003422400,6.161267800,6.003422400
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,5,6,0.250000000,0.194941900,-0.055058100,0.300000000,0.371054100,0.071054100,6.532321900,6.727263800,6.532321900
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,6,7,0.240000000,0.187120400,-0.052879600,0.320000000,0.369085800,0.049085800,7.096349600,7.283470000,7.096349600
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,7,8,0.240000000,0.187478500,-0.052521500,0.320000000,0.381899100,0.061899100,7.665369100,7.852847600,7.665369100
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,8,9,0.220000000,0.166605300,-0.053394700,0.330000000,0.376750200,0.046750200,8.229597800,8.396203100,8.229597800
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,9,10,0.200000000,0.176431100,-0.023568900,0.320000000,0.374251500,0.054251500,8.770454600,8.946885700,8.770454600
20260624_2_10次纵跳,compensated,trimmed_first_real_jump,1,10,,0.400000000,,,0.380000000,,,,,
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,1,1,0.280000000,0.747207200,0.467207200,0.310000000,0.348844300,0.038844300,3.150229500,3.897436700,4.246281000
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,2,2,0.280000000,0.221538900,-0.058461100,0.270000000,0.333423400,0.063423400,4.246281000,4.467819900,4.801243300
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,3,3,0.250000000,0.246232200,-0.003767800,0.300000000,0.323397400,0.023397400,4.801243300,5.047475500,5.370872900
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,4,4,0.260000000,0.226400200,-0.033599800,0.320000000,0.346638500,0.026638500,5.370872900,5.597273100,5.943911600
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,5,5,0.250000000,0.217356200,-0.032643800,0.300000000,0.349905000,0.049905000,5.943911600,6.161267800,6.511172800
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,6,6,0.240000000,0.216091000,-0.023909000,0.320000000,0.357968300,0.037968300,6.511172800,6.727263800,7.085232100
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,7,7,0.240000000,0.198237900,-0.041762100,0.320000000,0.351799600,0.031799600,7.085232100,7.283470000,7.635269600
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,8,8,0.220000000,0.217578000,-0.002422000,0.330000000,0.351477100,0.021477100,7.635269600,7.852847600,8.204324700
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,9,9,0.200000000,0.191878400,-0.008121600,0.320000000,0.346112900,0.026112900,8.204324700,8.396203100,8.742316000
20260624_2_10次纵跳,touch_associated,trimmed_first_real_jump,0,10,10,0.400000000,0.204569700,-0.195430300,0.380000000,,,8.742316000,8.946885700,
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,1,2,0.280000000,0.185060100,-0.094939900,0.310000000,0.384927800,0.074927800,4.283347900,4.468408000,4.283347900
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,2,3,0.280000000,0.231602000,-0.048398000,0.270000000,0.348861500,0.078861500,4.817269500,5.048871500,4.817269500
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,3,4,0.250000000,0.171465100,-0.078534900,0.300000000,0.377919200,0.077919200,5.426790700,5.598255800,5.426790700
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,4,5,0.260000000,0.160214400,-0.099785600,0.320000000,0.405166600,0.085166600,6.003422400,6.163636800,6.003422400
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,5,6,0.250000000,0.196475600,-0.053524400,0.300000000,0.368685100,0.068685100,6.532321900,6.728797500,6.532321900
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,6,7,0.240000000,0.189316300,-0.050683700,0.320000000,0.367552100,0.047552100,7.096349600,7.285665900,7.096349600
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,7,8,0.240000000,0.188040400,-0.051959600,0.320000000,0.379703200,0.059703200,7.665369100,7.853409500,7.665369100
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,8,9,0.220000000,0.167868700,-0.052131300,0.330000000,0.376188300,0.046188300,8.229597800,8.397466500,8.229597800
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,9,10,0.200000000,0.178859100,-0.021140900,0.320000000,0.372988100,0.052988100,8.770454600,8.949313700,8.770454600
20260624_2_10次纵跳,lift_associated,trimmed_first_real_jump,1,10,,0.400000000,,,0.380000000,,,,,
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,1,1,0.280000000,0.748190600,0.468190600,0.310000000,0.347860900,0.037860900,3.150229500,3.898420100,4.246281000
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,2,2,0.280000000,0.222127000,-0.057873000,0.270000000,0.332835300,0.062835300,4.246281000,4.468408000,4.801243300
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,3,3,0.250000000,0.247628200,-0.002371800,0.300000000,0.322001400,0.022001400,4.801243300,5.048871500,5.370872900
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,4,4,0.260000000,0.227382900,-0.032617100,0.320000000,0.345655800,0.025655800,5.370872900,5.598255800,5.943911600
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,5,5,0.250000000,0.219725200,-0.030274800,0.300000000,0.347536000,0.047536000,5.943911600,6.163636800,6.511172800
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,6,6,0.240000000,0.217624700,-0.022375300,0.320000000,0.356434600,0.036434600,6.511172800,6.728797500,7.085232100
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,7,7,0.240000000,0.200433800,-0.039566200,0.320000000,0.349603700,0.029603700,7.085232100,7.285665900,7.635269600
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,8,8,0.220000000,0.218139900,-0.001860100,0.330000000,0.350915200,0.020915200,7.635269600,7.853409500,8.204324700
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,9,9,0.200000000,0.193141800,-0.006858200,0.320000000,0.344849500,0.024849500,8.204324700,8.397466500,8.742316000
20260624_2_10次纵跳,associated,trimmed_first_real_jump,0,10,10,0.400000000,0.206997700,-0.193002300,0.380000000,,,8.742316000,8.949313700,
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,1,2,0.280000000,0.220436000,-0.059564000,0.310000000,0.349947200,0.039947200,4.247383900,4.467819900,4.247383900
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,2,3,0.280000000,0.246232200,-0.033767800,0.270000000,0.333423400,0.063423400,4.801243300,5.047475500,4.801243300
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,3,4,0.250000000,0.226400200,-0.023599800,0.300000000,0.323397400,0.023397400,5.370872900,5.597273100,5.370872900
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,4,5,0.260000000,0.217356200,-0.042643800,0.320000000,0.346638500,0.026638500,5.943911600,6.161267800,5.943911600
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,5,6,0.250000000,0.215069300,-0.034930700,0.300000000,0.350926700,0.050926700,6.512194500,6.727263800,6.512194500
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,6,7,0.240000000,0.206258900,-0.033741100,0.320000000,0.349947300,0.029947300,7.077211100,7.283470000,7.077211100
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,7,8,0.240000000,0.217578000,-0.022422000,0.320000000,0.351799600,0.031799600,7.635269600,7.852847600,7.635269600
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,8,9,0.220000000,0.191878400,-0.028121600,0.330000000,0.351477100,0.021477100,8.204324700,8.396203100,8.204324700
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,9,10,0.200000000,0.204569700,0.004569700,0.320000000,0.346112900,0.026112900,8.742316000,8.946885700,8.742316000
20260624_2_10次纵跳,onset,trimmed_first_real_jump,1,10,,0.400000000,,,0.380000000,,,,,
