session,variant,event_index,kind,time,confirm_time,first_confirm_frame_time,onset_time,boundary_time,associated_track_id,fallback_reason,ratio,centroid_cm,frame_index
20260624_2_10次纵跳,touch_associated,2,lift,3.590291100,3.591223300,3.590291100,,3.591223300,46,,0.000000000,,3477
20260624_2_10次纵跳,touch_associated,3,touch,3.150229500,3.603928200,3.601266800,,3.150229500,46,,0.125000000,44.200000000,3488
20260624_2_10次纵跳,touch_associated,4,lift,3.897436700,3.898420100,3.897436700,,3.898420100,46,,0.000000000,,3784
20260624_2_10次纵跳,touch_associated,5,touch,4.246281000,4.285526600,4.283347900,,4.246281000,64,,0.125000000,47.320000000,4170
20260624_2_10次纵跳,touch_associated,6,lift,4.467819900,4.468408000,4.467819900,,4.468408000,64,,0.000000000,,4354
20260624_2_10次纵跳,touch_associated,7,touch,4.801243300,4.818824800,4.817269500,,4.801243300,74,,0.125000000,29.640000000,4704
20260624_2_10次纵跳,touch_associated,8,lift,5.047475500,5.048871500,5.047475500,,5.048871500,74,,0.000000000,,4934
20260624_2_10次纵跳,touch_associated,9,touch,5.370872900,5.428009700,5.426790700,,5.370872900,83,,0.125000000,45.240000000,5313
20260624_2_10次纵跳,touch_associated,10,lift,5.597273100,5.598255800,5.597273100,,5.598255800,83,,0.000000000,,5484
20260624_2_10次纵跳,touch_associated,11,touch,5.943911600,6.004176000,6.003422400,,5.943911600,96,,0.125000000,45.240000000,5889
20260624_2_10次纵跳,touch_associated,12,lift,6.161267800,6.163636800,6.161267800,,6.163636800,96,,0.000000000,,6048
20260624_2_10次纵跳,touch_associated,13,touch,6.511172800,6.533477900,6.532321900,,6.511172800,102,,0.135416667,52.000000000,6419
20260624_2_10次纵跳,touch_associated,14,lift,6.727263800,6.728797500,6.727263800,,6.728797500,102,,0.000000000,,6614
20260624_2_10次纵跳,touch_associated,15,touch,7.085232100,7.097935700,7.096349600,,7.085232100,115,,0.125000000,43.160000000,6982
20260624_2_10次纵跳,touch_associated,16,lift,7.283470000,7.285665900,7.283470000,,7.285665900,115,,0.000000000,,7169
20260624_2_10次纵跳,touch_associated,17,touch,7.635269600,7.666853200,7.665369100,,7.635269600,129,,0.135416667,49.920000000,7551
20260624_2_10次纵跳,touch_associated,18,lift,7.852847600,7.853409500,7.852847600,,7.853409500,129,,0.000000000,,7738
20260624_2_10次纵跳,touch_associated,19,touch,8.204324700,8.230213300,8.229597800,,8.204324700,138,,0.125000000,32.760000000,8115
