session,variant,pairing_mode,jump_index,touch_start_s,lift_s,landing_s,contact_time_s,air_time_s
20260624_2_10次纵跳,lift_associated,raw_triplet,3,4.283347900,4.468408000,4.817269500,0.185060100,0.348861500
20260624_2_10次纵跳,lift_associated,raw_triplet,4,4.817269500,5.048871500,5.426790700,0.231602000,0.377919200
20260624_2_10次纵跳,lift_associated,raw_triplet,5,5.426790700,5.598255800,6.003422400,0.171465100,0.405166600
20260624_2_10次纵跳,lift_associated,raw_triplet,6,6.003422400,6.163636800,6.532321900,0.160214400,0.368685100
20260624_2_10次纵跳,lift_associated,raw_triplet,7,6.532321900,6.728797500,7.096349600,0.196475600,0.367552100
20260624_2_10次纵跳,lift_associated,raw_triplet,8,7.096349600,7.285665900,7.665369100,0.189316300,0.379703200
20260624_2_10次纵跳,lift_associated,raw_triplet,9,7.665369100,7.853409500,8.229597800,0.188040400,0.376188300
20260624_2_10次纵跳,lift_associated,raw_triplet,10,8.229597800,8.397466500,8.770454600,0.167868700,0.372988100
20260624_2_10次纵跳,associated,production_equivalent,1,3.150229500,3.898420100,4.246281000,0.748190600,0.347860900
20260624_2_10次纵跳,associated,production_equivalent,2,4.246281000,4.468408000,4.801243300,0.222127000,0.332835300
20260624_2_10次纵跳,associated,production_equivalent,3,4.801243300,5.048871500,5.370872900,0.247628200,0.322001400
20260624_2_10次纵跳,associated,production_equivalent,4,5.370872900,5.598255800,5.943911600,0.227382900,0.345655800
20260624_2_10次纵跳,associated,production_equivalent,5,5.943911600,6.163636800,6.511172800,0.219725200,0.347536000
20260624_2_10次纵跳,associated,production_equivalent,6,6.511172800,6.728797500,7.085232100,0.217624700,0.356434600
20260624_2_10次纵跳,associated,production_equivalent,7,7.085232100,7.285665900,7.635269600,0.200433800,0.349603700
20260624_2_10次纵跳,associated,production_equivalent,8,7.635269600,7.853409500,8.204324700,0.218139900,0.350915200
20260624_2_10次纵跳,associated,production_equivalent,9,8.204324700,8.397466500,8.742316000,0.193141800,0.344849500
20260624_2_10次纵跳,associated,production_equivalent,10,8.742316000,8.949313700,,0.206997700,
20260624_2_10次纵跳,associated,raw_triplet,1,3.150229500,3.898420100,4.246281000,0.748190600,0.347860900
20260624_2_10次纵跳,associated,raw_triplet,2,4.246281000,4.468408000,4.801243300,0.222127000,0.332835300
20260624_2_10次纵跳,associated,raw_triplet,3,4.801243300,5.048871500,5.370872900,0.247628200,0.322001400
20260624_2_10次纵跳,associated,raw_triplet,4,5.370872900,5.598255800,5.943911600,0.227382900,0.345655800
20260624_2_10次纵跳,associated,raw_triplet,5,5.943911600,6.163636800,6.511172800,0.219725200,0.347536000
20260624_2_10次纵跳,associated,raw_triplet,6,6.511172800,6.728797500,7.085232100,0.217624700,0.356434600
20260624_2_10次纵跳,associated,raw_triplet,7,7.085232100,7.285665900,7.635269600,0.200433800,0.349603700
20260624_2_10次纵跳,associated,raw_triplet,8,7.635269600,7.853409500,8.204324700,0.218139900,0.350915200
20260624_2_10次纵跳,associated,raw_triplet,9,8.204324700,8.397466500,8.742316000,0.193141800,0.344849500
20260624_2_10次纵跳,onset,production_equivalent,1,3.592221500,3.897436700,3.592221500,0.305215200,0.001930400
20260624_2_10次纵跳,onset,production_equivalent,2,4.247383900,4.467819900,4.247383900,0.220436000,0.349947200
20260624_2_10次纵跳,onset,production_equivalent,3,4.801243300,5.047475500,4.801243300,0.246232200,0.333423400
20260624_2_10次纵跳,onset,production_equivalent,4,5.370872900,5.597273100,5.370872900,0.226400200,0.323397400
20260624_2_10次纵跳,onset,production_equivalent,5,5.943911600,6.161267800,5.943911600,0.217356200,0.346638500
20260624_2_10次纵跳,onset,production_equivalent,6,6.512194500,6.727263800,6.512194500,0.215069300,0.350926700
20260624_2_10次纵跳,onset,production_equivalent,7,7.077211100,7.283470000,7.077211100,0.206258900,0.349947300
20260624_2_10次纵跳,onset,production_equivalent,8,7.635269600,7.852847600,7.635269600,0.217578000,0.351799600
20260624_2_10次纵跳,onset,production_equivalent,9,8.204324700,8.396203100,8.204324700,0.191878400,0.351477100
20260624_2_10次纵跳,onset,production_equivalent,10,8.742316000,8.946885700,8.742316000,0.204569700,0.346112900
20260624_2_10次纵跳,onset,raw_triplet,1,3.569252600,3.590291100,3.592221500,0.021038500,0.001930400
